ipa_sym,type,height-place,front-manner,feature
p,consonant,bilabial,plosive,voiceless
b,consonant,bilabial,plosive,voiced
m,consonant,bilabial,nasal,voiced
ʙ,consonant,bilabial,trill,voiced
ɸ,consonant,bilabial,fricative,voiceless
β,consonant,bilabial,fricative,voiced
ɱ,consonant,labiodental,nasal,voiced
ⱱ,consonant,labiodental,flap,voiced
f,consonant,labiodental,fricative,voiceless
v,consonant,labiodental,fricative,voiced
ʋ,consonant,labiodental,approximant,voiced
t,consonant,alveolar,plosive,voiceless
d,consonant,alveolar,plosive,voiced
n,consonant,alveolar,nasal,voiced
r,consonant,alveolar,approximant,voiced
ɾ,consonant,alveolar,flap,voiced
θ,consonant,dental,fricative,voiceless
ð,consonant,dental,fricative,voiced
s,consonant,alveolar,fricative,voiceless
z,consonant,alveolar,fricative,voiced
ʃ,consonant,postalveolar,fricative,voiceless
ʒ,consonant,postalveolar,fricative,voiced
ɬ,consonant,alveolar,lateral fricative,voiceless
ɮ,consonant,alveolar,lateral fricative,voiced
ɹ,consonant,alveolar,approximant,voiced
l,consonant,alveolar,lateral approximant,voiced
ʈ,consonant,retroflex,plosive,voiceless
ɖ,consonant,retroflex,plosive,voiced
ɳ,consonant,retroflex,nasal,voiced
ɽ,consonant,retroflex,flap,voiced
ʂ,consonant,retroflex,fricative,voiceless
ʐ,consonant,retroflex,fricative,voiced
ɻ,consonant,retroflex,approximant,voiced
ɭ,consonant,retroflex,lateral approximant,voiced
c,consonant,palatal,plosive,voiceless
ɟ,consonant,palatal,plosive,voiced
ɲ,consonant,palatal,nasal,voiced
ç,consonant,palatal,fricative,voiceless
ʝ,consonant,palatal,fricative,voiced
j,consonant,palatal,approximant,voiced
ʎ,consonant,palatal,lateral approximant,voiced
k,consonant,velar,plosive,voiceless
g,consonant,velar,plosive,voiced
ŋ,consonant,velar,nasal,voiced
x,consonant,velar,fricative,voiceless
ɣ,consonant,velar,fricative,voiced
ɰ,consonant,velar,approximant,voiced
ʟ,consonant,velar,lateral approximant,voiced
q,consonant,uvular,plosive,voiceless
ɢ,consonant,uvular,plosive,voiced
ɴ,consonant,uvular,nasal,voiced
ʀ,consonant,uvular,trill,voiced
χ,consonant,uvular,fricative,voiceless
ʁ,consonant,uvular,fricative,voiced
ħ,consonant,pharyngeal,fricative,voiceless
ʕ,consonant,pharyngeal,fricative,voiced
ʔ,consonant,glottal,plosive,voiceless
h,consonant,glottal,fricative,voiceless
ɦ,consonant,glottal,fricative,voiced
i,vowel,close,front,unrounded
y,vowel,close,front,rounded
ɨ,vowel,close,central,unrounded
ʉ,vowel,close,central,rounded
ɯ,vowel,close,back,unrounded
u,vowel,close,back,rounded
ɪ,vowel,near-close,near-front,unrounded
ʏ,vowel,near-close,near-front,rounded
ʊ,vowel,near-close,near-back,rounded
e,vowel,close-mid,front,unrounded
ø,vowel,close-mid,front,rounded
ɘ,vowel,close-mid,central,unrounded
ɵ,vowel,close-mid,central,rounded
ɤ,vowel,close-mid,back,unrounded
o,vowel,close-mid,back,rounded
ə,vowel,mid,central,unrounded
ɛ,vowel,open-mid,front,unrounded
œ,vowel,open-mid,front,rounded
ɜ,vowel,open-mid,central,unrounded
ɞ,vowel,open-mid,central,rounded
ʌ,vowel,open-mid,back,unrounded
ɔ,vowel,open-mid,back,rounded
æ,vowel,near-open,front,unrounded
ɐ,vowel,near-open,central,unrounded
a,vowel,open,front,unrounded
ɶ,vowel,open,front,rounded
ɑ,vowel,open,back,unrounded
ɒ,vowel,open,back,rounded
